variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'geographical', 'geographical', 'metaphorical_general',
       'mythological', 'philosophical', 'philosophical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'geographical',
       'medical_anatomical', 'astronomical', 'philosophical',
       'philosophical', 'philosophical', 'philosophical', 'philosophical',
       'geographical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'scientific_alchemical',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'philosophical', 'mythological', 'astronomical', 'mythological',
       'philosophical', 'mythological', 'geographical', 'mythological',
       'geographical', 'poetic', 'mythological', 'geographical',
       'geographical', 'mythological', 'mythological', 'geographical',
       'geographical', 'mythological', 'metaphorical_general',
       'philosophical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'philosophical', 'geographical', 'geographical',
       'poetic', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'geographical', 'scientific_alchemical', 'poetic',
       'mythological', 'poetic', 'mythological', 'geographical',
       'mythological', 'mythological', 'mythological', 'poetic',
       'mythological', 'mythological', 'geographical', 'mythological',
       'geographical', 'mythological', 'poetic', 'mythological',
       'metaphorical_general', 'philosophical', 'mythological',
       'geographical', 'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'medical_anatomical', 'philosophical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'philosophical', 'mythological', 'mythological', 'geographical',
       'mythological', 'mythological', 'scientific_alchemical',
       'mythological', 'metaphorical_general', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'scientific_alchemical', 'poetic', 'mythological', 'philosophical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'philosophical', 'philosophical',
       'geographical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical', 'philosophical',
       'mythological', 'geographical', 'mythological', 'geographical',
       'medical_anatomical', 'mythological', 'mythological',
       'philosophical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'geographical', 'mythological', 'mythological', 'geographical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'philosophical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'geographical', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'mythological',
       'geographical', 'scientific_alchemical', 'metaphorical_general',
       'philosophical', 'geographical', 'medical_anatomical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'medical_anatomical', 'poetic', 'geographical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'geographical',
       'mythological', 'medical_anatomical', 'philosophical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'geographical', 'mythological',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'mythological',
       'geographical', 'spiritual_religious', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'geographical', 'poetic', 'geographical',
       'medical_anatomical', 'geographical', 'mythological', 'poetic',
       'metaphorical_general'], dtype=object), array(['metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'mythological',
       'mythological', 'mythological', 'poetic', 'philosophical',
       'metaphorical_general', 'mythological', 'geographical',
       'spiritual_religious', 'metaphorical_general',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'philosophical', 'philosophical',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'scientific_alchemical', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'mythological', 'poetic', 'poetic', 'metaphorical_general',
       'geographical', 'philosophical', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'mythological', 'geographical', 'mythological',
       'geographical', 'mythological', 'mythological', 'geographical',
       'geographical', 'medical_anatomical', 'geographical',
       'geographical', 'geographical', 'philosophical', 'philosophical',
       'mythological', 'metaphorical_general', 'mythological', 'poetic',
       'mythological', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'mythological', 'mythological',
       'mythological', 'geographical', 'mythological', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'philosophical', 'philosophical', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'mythological',
       'geographical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'poetic', 'geographical', 'geographical',
       'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'poetic', 'metaphorical_general', 'mythological', 'philosophical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'philosophical', 'poetic', 'metaphorical_general', 'mythological',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'scientific_alchemical', 'mythological', 'poetic', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'philosophical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'poetic', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'philosophical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'scientific_alchemical', 'scientific_alchemical',
       'scientific_alchemical', 'geographical', 'geographical',
       'philosophical', 'metaphorical_general', 'philosophical',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'philosophical', 'mythological',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'mythological',
       'mythological', 'mythological', 'metaphorical_general',
       'mythological', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'philosophical',
       'metaphorical_general', 'scientific_alchemical', 'geographical',
       'geographical', 'scientific_alchemical', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'poetic',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'philosophical', 'philosophical', 'philosophical',
       'scientific_alchemical', 'mythological', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'philosophical',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'geographical',
       'mythological', 'mythological', 'mythological', 'mythological',
       'medical_anatomical', 'philosophical', 'scientific_alchemical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'mythological',
       'philosophical', 'medical_anatomical', 'philosophical',
       'mythological', 'poetic', 'metaphorical_general',
       'scientific_alchemical', 'medical_anatomical', 'philosophical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'mythological',
       'mythological', 'geographical', 'metaphorical_general',
       'mythological', 'mythological', 'medical_anatomical',
       'scientific_alchemical', 'mythological', 'mythological',
       'scientific_alchemical', 'mythological', 'medical_anatomical',
       'poetic', 'geographical', 'medical_anatomical', 'geographical',
       'poetic', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'geographical', 'mythological',
       'mythological', 'scientific_alchemical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'mythological',
       'scientific_alchemical', 'geographical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical', 'mythological',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'astronomical', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'medical_anatomical', 'poetic',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'philosophical',
       'mythological', 'poetic', 'geographical', 'mythological',
       'medical_anatomical', 'mythological', 'philosophical', 'poetic',
       'geographical', 'medical_anatomical', 'geographical', 'poetic',
       'mythological', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'poetic',
       'metaphorical_general', 'geographical', 'philosophical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'philosophical', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'astronomical', 'scientific_alchemical', 'philosophical',
       'metaphorical_general', 'mythological', 'philosophical',
       'geographical', 'mythological', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'mythological',
       'mythological', 'mythological', 'geographical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'philosophical', 'philosophical',
       'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'mythological', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'poetic', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'poetic', 'mythological', 'philosophical',
       'poetic', 'philosophical', 'poetic', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'mythological', 'philosophical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'geographical', 'mythological', 'medical_anatomical',
       'scientific_alchemical', 'scientific_alchemical',
       'metaphorical_general', 'geographical', 'scientific_alchemical',
       'scientific_alchemical', 'astronomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'mythological', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'mythological', 'geographical',
       'geographical', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'scientific_alchemical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'geographical',
       'medical_anatomical', 'metaphorical_general', 'philosophical',
       'philosophical', 'philosophical', 'philosophical', 'philosophical',
       'medical_anatomical', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'geographical', 'philosophical',
       'philosophical', 'philosophical', 'scientific_alchemical',
       'philosophical', 'metaphorical_general', 'scientific_alchemical',
       'geographical', 'metaphorical_general', 'scientific_alchemical',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'philosophical', 'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'poetic', 'mythological',
       'metaphorical_general', 'mythological', 'geographical',
       'mythological', 'mythological', 'medical_anatomical',
       'mythological', 'geographical', 'geographical', 'mythological',
       'mythological', 'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'mythological', 'metaphorical_general', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'philosophical',
       'geographical', 'geographical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'philosophical', 'medical_anatomical', 'philosophical',
       'geographical', 'scientific_alchemical', 'geographical',
